cellid	x	y	cell_type	batchid
4493.101	-612.498853936967	-43.6872470505589	Astro	1
4493.102	-274.221381532857	-37.4043042711417	Astro	1
4493.103	-546.961884854586	-42.0651965490941	Astro	1
4493.104	-497.470524901758	-32.9936950318728	Astro	1
4493.105	-580.646137089646	-41.4972447073619	Astro	1
4493.106	-553.995563140619	27.376051580271	Astro	1
4493.107	-592.360101737213	-28.2037666788918	Astro	1
4493.108	-448.119930954912	-12.4398908437995	Astro	1
4493.109	-655.198708732263	2.9909214777357	Astro	1
4493.110	-641.988326164529	-9.27386069864416	Astro	1
4493.111	-674.373293975612	35.3959140895769	Astro	1
4493.112	-730.224096134468	-28.3691293912447	Astro	1
4493.113	-386.570417242539	-45.7603746046011	Astro	1
4493.114	-610.197127263023	-21.536797415372	Astro	1
