"","parent","cluster","depth","cellID"
"822",5,6,6,822
"823",5,6,6,823
"824",5,6,6,824
"825",6,2,10,825
"826",6,2,10,826
"827",6,2,10,827
"828",6,2,10,828
"829",5,6,6,829
"830",6,2,11,830
"831",5,6,7,831
"832",5,6,7,832
"833",5,1,5,833
"834",5,1,5,834
"835",5,1,10,835
"836",5,1,10,836
"837",5,1,5,837
"838",5,1,8,838
"839",5,1,10,839
"840",5,1,10,840
"841",5,1,12,841
"842",5,1,12,842
"843",5,1,12,843
"844",5,1,12,844
"845",5,1,12,845
"846",5,1,12,846
"847",5,1,10,847
"848",5,1,10,848
"849",6,2,9,849
"850",6,2,9,850
"851",5,6,7,851
"852",6,2,10,852
"853",6,2,11,853
"854",5,6,7,854
"855",5,6,7,855
"856",5,6,7,856
"857",5,1,4,857
"858",5,1,4,858
"859",5,1,7,859
"860",5,1,7,860
"861",5,1,9,861
"862",5,1,7,862
"863",4,5,2,863
"864",4,5,2,864
"865",6,2,12,865
"866",6,2,12,866
"867",6,2,12,867
"868",6,2,11,868
"869",6,2,12,869
"870",6,2,12,870
"871",5,6,7,871
"872",5,6,7,872
"873",5,6,4,873
"874",4,5,2,874
"875",4,5,2,875
"876",4,5,2,876
"877",5,6,4,877
"878",5,6,6,878
"879",4,5,2,879
"880",4,5,2,880
"881",5,1,8,881
"882",5,1,12,882
"883",4,5,3,883
"884",4,5,3,884
"885",5,1,4,885
"886",5,1,4,886
"887",4,5,2,887
"888",5,1,7,888
"889",4,5,2,889
"890",4,5,2,890
"891",5,1,7,891
"892",5,1,7,892
"893",6,2,12,893
"894",6,2,12,894
"895",5,6,6,895
"896",5,6,6,896
"897",5,6,5,897
"898",5,6,5,898
"899",5,6,5,899
"900",6,3,9,900
"901",6,2,10,901
"902",6,2,10,902
"903",5,6,5,903
"904",5,6,5,904
"905",5,6,5,905
"906",6,2,11,906
"907",6,2,9,907
"908",6,2,9,908
"909",5,6,5,909
"910",5,6,5,910
"911",5,6,5,911
"912",5,6,5,912
"913",5,6,5,913
"914",5,6,5,914
"915",5,6,6,915
"916",5,6,6,916
"917",5,6,5,917
"918",5,6,6,918
"919",5,6,6,919
"920",5,6,6,920
"921",6,2,9,921
"922",5,6,5,922
"923",5,6,5,923
"924",5,6,5,924
"925",5,6,7,925
"926",5,6,5,926
"927",5,6,5,927
"928",5,6,5,928
"929",6,3,12,929
"930",6,3,10,930
"931",6,3,12,931
"932",6,3,12,932
"933",6,3,10,933
"934",6,3,10,934
"935",6,3,10,935
"936",6,3,10,936
"937",6,2,12,937
"938",6,2,10,938
"939",6,2,10,939
"940",6,2,12,940
"941",5,6,5,941
"942",6,2,11,942
"943",6,3,9,943
"944",5,6,5,944
"945",6,2,12,945
"946",6,2,12,946
"947",5,6,6,947
"948",6,3,12,948
"949",6,2,10,949
"950",6,2,9,950
"951",6,2,9,951
"952",6,2,12,952
"953",5,6,5,953
"954",5,6,5,954
"955",5,6,5,955
"956",6,3,11,956
"957",5,6,5,957
"958",5,6,5,958
"959",5,6,5,959
"960",5,6,7,960
"961",6,2,11,961
"962",5,6,6,962
"963",5,6,6,963
"964",5,6,6,964
"965",5,6,6,965
"966",6,3,12,966
"967",6,3,11,967
"968",5,6,6,968
"969",5,6,6,969
"970",5,6,6,970
"971",6,3,10,971
"972",5,6,6,972
"973",5,6,7,973
"974",5,6,6,974
"975",6,3,9,975
"976",6,3,8,976
"977",5,6,6,977
"978",5,6,6,978
"979",6,3,8,979
"980",5,6,6,980
"981",6,2,10,981
"982",5,6,6,982
"983",6,3,10,983
"984",5,6,6,984
"985",5,6,6,985
"986",5,6,6,986
"987",5,6,6,987
"988",5,6,6,988
"989",6,2,11,989
"990",5,6,6,990
"991",5,6,6,991
"992",5,6,6,992
"993",6,3,11,993
"994",6,3,11,994
"995",6,3,12,995
"996",6,3,12,996
"997",6,3,11,997
"998",6,3,12,998
"999",6,3,11,999
"1000",6,3,12,1000
"1001",6,3,12,1001
"1002",6,3,12,1002
"1003",6,3,12,1003
"1004",6,3,12,1004
"1005",6,3,12,1005
"1006",6,3,12,1006
"1007",6,3,12,1007
"1008",6,3,12,1008
"1009",6,3,12,1009
"1010",6,3,12,1010
"1011",6,3,12,1011
"1012",6,3,12,1012
"1013",6,3,12,1013
"1014",6,3,12,1014
"1015",6,3,12,1015
"1016",6,3,12,1016
"1017",6,3,12,1017
"1018",6,3,12,1018
"1019",6,3,12,1019
"1020",6,3,12,1020
"1021",6,3,12,1021
"1022",6,3,12,1022
"1023",6,3,12,1023
"1024",6,3,12,1024
