"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32"
"cell_75" "2" "3" "8" "5" "0" "2" "3" "0" "5" "5" "0" "2" "2" "13" "3" "2" "4" "3" "3" "0" "4" "2" "0" "3" "10" "0" "2" "0" "2" "0" "0" "0"
"cell_76" "2" "3" "8" "5" "0" "2" "0" "0" "5" "5" "3" "2" "2" "13" "3" "2" "4" "3" "3" "0" "4" "2" "0" "3" "10" "0" "2" "0" "2" "0" "0" "0"
"cell_77" "2" "0" "8" "5" "0" "2" "0" "0" "5" "5" "0" "2" "2" "13" "3" "2" "4" "3" "3" "0" "4" "2" "0" "3" "10" "0" "2" "0" "8" "0" "0" "0"
"cell_78" "2" "0" "8" "5" "0" "2" "0" "0" "5" "5" "0" "2" "2" "13" "3" "0" "4" "3" "3" "0" "4" "2" "9" "3" "10" "0" "0" "0" "8" "0" "0" "0"
"cell_79" "2" "0" "8" "5" "0" "2" "0" "0" "5" "5" "0" "2" "2" "13" "3" "0" "4" "3" "3" "0" "4" "2" "0" "3" "10" "0" "0" "2" "0" "0" "0" "0"
"cell_80" "2" "0" "8" "5" "0" "2" "0" "0" "5" "5" "0" "2" "2" "13" "3" "12" "4" "3" "3" "0" "4" "2" "0" "3" "10" "0" "0" "2" "0" "4" "0" "0"
"cell_81" "2" "0" "8" "5" "2" "2" "0" "5" "5" "0" "0" "0" "2" "0" "3" "2" "4" "5" "3" "2" "4" "2" "0" "3" "2" "2" "0" "0" "0" "5" "2" "2"
"cell_82" "2" "0" "8" "5" "2" "2" "0" "5" "5" "0" "0" "0" "2" "0" "3" "2" "4" "0" "3" "2" "4" "2" "0" "3" "2" "2" "0" "0" "0" "5" "2" "2"
"cell_83" "2" "0" "8" "5" "2" "2" "0" "5" "5" "2" "0" "0" "2" "0" "3" "2" "4" "0" "3" "2" "4" "2" "12" "3" "2" "2" "0" "2" "2" "5" "2" "2"
"cell_84" "2" "0" "8" "5" "2" "2" "0" "5" "5" "0" "0" "0" "2" "0" "3" "2" "4" "0" "3" "2" "4" "2" "12" "3" "2" "2" "2" "2" "0" "5" "2" "2"
