"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33"
"4493.40" "2" "0" "9" "0" "0" "2" "4" "2" "0" "2" "12" "0" "2" "0" "5" "0" "2" "0" "2" "2" "0" "0" "2" "2" "0" "0" "27" "2" "0" "3" "0" "0" "1"
"4493.41" "2" "47" "9" "0" "0" "0" "4" "0" "0" "0" "12" "0" "2" "0" "5" "0" "2" "0" "2" "2" "0" "4" "0" "2" "3" "4" "27" "5" "2" "3" "0" "5" "1"
"4493.42" "2" "47" "9" "0" "0" "0" "4" "0" "0" "0" "12" "0" "2" "0" "5" "0" "2" "0" "2" "2" "0" "4" "0" "2" "3" "0" "27" "0" "2" "3" "0" "5" "1"
"4493.43" "2" "47" "9" "0" "0" "5" "4" "0" "0" "0" "12" "0" "2" "0" "5" "0" "2" "0" "2" "0" "0" "0" "0" "2" "3" "0" "27" "0" "2" "3" "0" "5" "1"
"4493.44" "2" "47" "9" "0" "0" "3" "4" "0" "0" "2" "12" "0" "2" "0" "5" "0" "2" "0" "2" "0" "0" "0" "0" "2" "3" "0" "27" "0" "0" "3" "0" "5" "1"
"4493.45" "2" "0" "9" "0" "0" "2" "4" "3" "2" "0" "12" "0" "2" "0" "5" "0" "2" "2" "2" "0" "0" "0" "0" "2" "0" "0" "27" "0" "2" "3" "0" "5" "1"
"4493.46" "2" "0" "9" "0" "0" "0" "4" "3" "2" "0" "12" "0" "2" "5" "5" "0" "2" "2" "2" "0" "0" "2" "2" "2" "0" "0" "27" "0" "2" "3" "0" "5" "1"
"4493.47" "2" "0" "9" "0" "5" "0" "4" "3" "0" "0" "12" "5" "2" "0" "5" "0" "2" "2" "2" "0" "0" "0" "0" "2" "0" "0" "27" "0" "2" "3" "0" "5" "1"
"4493.48" "2" "0" "9" "0" "5" "0" "4" "3" "0" "5" "12" "5" "2" "0" "5" "0" "2" "2" "2" "0" "0" "0" "0" "2" "0" "0" "27" "0" "2" "3" "0" "5" "1"
"4493.49" "2" "3" "9" "5" "2" "0" "4" "0" "2" "0" "12" "0" "2" "0" "5" "0" "2" "0" "2" "0" "0" "0" "2" "2" "38" "2" "0" "0" "3" "0" "0" "2" "1"
"4493.50" "2" "3" "9" "5" "2" "0" "4" "0" "2" "0" "12" "0" "2" "0" "5" "0" "2" "5" "2" "0" "0" "0" "2" "2" "38" "2" "0" "0" "3" "0" "0" "2" "1"
"4493.51" "2" "3" "9" "5" "2" "0" "4" "26" "2" "3" "12" "0" "2" "0" "5" "0" "2" "2" "2" "4" "0" "0" "2" "2" "0" "0" "0" "0" "3" "0" "5" "2" "1"
"4493.52" "2" "3" "9" "5" "2" "0" "4" "26" "2" "3" "12" "0" "2" "0" "5" "0" "2" "0" "2" "4" "0" "2" "2" "2" "0" "0" "0" "4" "3" "0" "0" "2" "1"
"4493.53" "2" "0" "9" "0" "0" "0" "4" "0" "0" "0" "12" "0" "2" "4" "5" "0" "2" "4" "2" "2" "0" "0" "2" "2" "2" "0" "0" "0" "3" "2" "0" "2" "1"
"4493.54" "2" "0" "9" "0" "0" "0" "4" "0" "0" "0" "12" "0" "2" "4" "5" "0" "2" "4" "2" "0" "0" "0" "2" "2" "2" "0" "0" "0" "3" "2" "0" "2" "1"
"4493.55" "2" "2" "9" "0" "2" "0" "4" "0" "0" "0" "12" "0" "2" "0" "5" "0" "2" "43" "2" "0" "5" "0" "2" "2" "0" "4" "0" "0" "3" "2" "0" "2" "1"
"4493.56" "2" "0" "9" "2" "2" "0" "4" "0" "0" "0" "12" "0" "2" "0" "5" "0" "2" "43" "2" "0" "5" "0" "2" "2" "0" "4" "0" "0" "3" "2" "2" "2" "1"
"4493.57" "2" "0" "9" "0" "0" "0" "4" "82" "2" "0" "12" "0" "2" "0" "5" "0" "2" "2" "2" "3" "0" "0" "2" "2" "0" "2" "0" "2" "3" "0" "0" "2" "1"
"4493.58" "2" "0" "9" "0" "0" "0" "4" "82" "2" "0" "12" "0" "2" "0" "5" "0" "2" "0" "2" "3" "0" "0" "2" "2" "0" "2" "0" "2" "3" "0" "0" "2" "1"
"4493.59" "2" "0" "9" "0" "2" "2" "4" "0" "2" "2" "12" "0" "2" "0" "5" "0" "2" "0" "2" "3" "0" "0" "2" "2" "0" "2" "0" "2" "3" "0" "0" "2" "1"
"4493.60" "2" "0" "9" "0" "2" "2" "4" "0" "2" "2" "12" "0" "2" "0" "5" "2" "2" "0" "2" "3" "0" "0" "2" "2" "0" "2" "0" "0" "3" "2" "0" "2" "1"
"4493.61" "2" "0" "9" "0" "3" "0" "4" "0" "2" "0" "12" "0" "2" "0" "5" "0" "2" "0" "2" "0" "0" "0" "2" "2" "0" "2" "0" "0" "3" "5" "0" "2" "1"
"4493.62" "2" "0" "9" "0" "0" "0" "4" "0" "2" "0" "12" "0" "2" "0" "5" "0" "2" "4" "2" "0" "2" "0" "2" "2" "0" "2" "0" "0" "3" "0" "0" "2" "1"
"4493.63" "2" "0" "9" "0" "2" "0" "4" "4" "2" "0" "12" "0" "2" "0" "5" "2" "2" "0" "2" "0" "2" "0" "2" "2" "0" "2" "0" "0" "3" "0" "0" "2" "1"
"4493.64" "2" "0" "9" "0" "2" "3" "4" "4" "2" "0" "12" "12" "2" "0" "5" "0" "2" "0" "2" "0" "2" "0" "2" "2" "0" "2" "2" "0" "3" "0" "0" "2" "1"
"4493.65" "2" "0" "3" "2" "2" "2" "2" "0" "2" "46" "0" "3" "2" "3" "2" "0" "2" "0" "2" "0" "2" "11" "0" "2" "2" "6" "5" "9" "0" "37" "2" "0" "1"
"4493.66" "2" "0" "3" "2" "2" "0" "2" "0" "2" "46" "0" "3" "2" "3" "2" "0" "2" "0" "2" "0" "2" "11" "0" "2" "2" "6" "5" "0" "0" "37" "2" "0" "1"
"4493.67" "2" "0" "3" "2" "2" "0" "2" "0" "2" "46" "0" "3" "2" "3" "2" "4" "2" "0" "2" "3" "0" "11" "0" "2" "2" "6" "0" "3" "0" "37" "2" "0" "1"
"4493.68" "2" "0" "3" "2" "2" "0" "2" "0" "2" "46" "2" "3" "2" "3" "2" "4" "2" "0" "2" "0" "2" "11" "0" "2" "2" "6" "0" "0" "3" "37" "2" "0" "1"
"4493.69" "3" "0" "3" "2" "2" "0" "0" "0" "2" "46" "0" "3" "4" "0" "2" "0" "2" "5" "2" "0" "0" "11" "0" "2" "2" "6" "0" "124" "0" "37" "2" "0" "1"
"4493.70" "0" "0" "3" "2" "2" "0" "2" "0" "2" "46" "0" "3" "4" "0" "2" "0" "2" "5" "2" "0" "0" "11" "0" "2" "2" "6" "2" "124" "0" "37" "2" "0" "1"
"4493.71" "0" "0" "3" "2" "2" "0" "0" "0" "2" "46" "0" "3" "4" "0" "2" "0" "2" "2" "2" "3" "0" "11" "0" "2" "2" "6" "0" "124" "2" "37" "2" "0" "1"
"4493.72" "0" "0" "3" "2" "2" "0" "0" "0" "2" "46" "0" "3" "4" "0" "2" "0" "2" "2" "2" "3" "0" "11" "0" "2" "2" "6" "0" "124" "2" "37" "2" "0" "1"
"4493.73" "15" "4" "3" "0" "2" "0" "5" "2" "2" "46" "14" "3" "5" "8" "2" "0" "2" "2" "2" "0" "2" "11" "0" "2" "2" "2" "0" "0" "0" "37" "2" "0" "1"
"4493.74" "15" "4" "3" "0" "2" "5" "0" "0" "2" "46" "14" "3" "5" "0" "2" "0" "2" "2" "2" "0" "2" "11" "0" "2" "2" "2" "0" "0" "0" "37" "2" "0" "1"
"4493.75" "0" "4" "3" "0" "2" "2" "0" "0" "2" "46" "14" "3" "5" "0" "2" "0" "2" "2" "2" "0" "2" "11" "0" "2" "2" "0" "0" "4" "0" "37" "2" "0" "1"
"4493.76" "3" "4" "3" "0" "2" "2" "0" "0" "2" "46" "14" "3" "5" "0" "2" "0" "2" "2" "2" "0" "2" "11" "0" "2" "2" "0" "0" "4" "6" "37" "2" "3" "1"
"4493.77" "0" "4" "3" "0" "2" "0" "0" "0" "2" "46" "2" "3" "0" "0" "2" "0" "2" "0" "2" "0" "2" "11" "0" "2" "2" "2" "0" "0" "0" "37" "2" "0" "1"
"4493.78" "0" "4" "3" "0" "2" "0" "0" "0" "2" "46" "2" "3" "2" "0" "2" "0" "2" "0" "2" "0" "2" "11" "0" "2" "2" "2" "0" "0" "0" "37" "2" "10" "1"
"4493.79" "0" "4" "3" "3" "2" "2" "5" "2" "2" "46" "0" "3" "3" "0" "2" "2" "2" "0" "2" "0" "2" "11" "0" "2" "2" "2" "0" "0" "0" "37" "2" "2" "1"
"4493.80" "0" "4" "3" "3" "2" "2" "5" "2" "2" "46" "0" "3" "3" "0" "2" "2" "2" "0" "2" "0" "2" "11" "0" "2" "2" "2" "0" "0" "0" "37" "2" "2" "1"
